type;code;name;
Character(36,0);Character(11,0);Character(60,0);
NOT NULL;NOT NULL;NOT NULL;
Справочник.ПроизводителиНоменклатуры;00000002777;1A FIRST AUTOMOTIVE;
Справочник.ПроизводителиНоменклатуры;00000002777;1A FIRST AUTOMOTIVE;
Справочник.ПроизводителиНоменклатуры;00000002777;1A FIRST AUTOMOTIVE;
Справочник.ПроизводителиНоменклатуры;00000003338;1NEW;
Справочник.ПроизводителиНоменклатуры;00000003338;1NEW;
Справочник.ПроизводителиНоменклатуры;00000002307;3F;
Справочник.ПроизводителиНоменклатуры;00000002307;3F;
Справочник.ПроизводителиНоменклатуры;00000002307;3F;
Справочник.ПроизводителиНоменклатуры;00000001998;3F QUALITY;
Справочник.ПроизводителиНоменклатуры;00000001998;3F QUALITY;
Справочник.ПроизводителиНоменклатуры;00000001998;3F QUALITY;
Справочник.ПроизводителиНоменклатуры;00000002317;3K;
Справочник.ПроизводителиНоменклатуры;00000002317;3K;
Справочник.ПроизводителиНоменклатуры;00000002317;3K;
Справочник.ПроизводителиНоменклатуры;00000003403;3M;
Справочник.ПроизводителиНоменклатуры;00000003403;3M;
Справочник.ПроизводителиНоменклатуры;00000002553;3RG;
Справочник.ПроизводителиНоменклатуры;00000002553;3RG;
Справочник.ПроизводителиНоменклатуры;00000000946;3ton;
Справочник.ПроизводителиНоменклатуры;00000000946;3ton;
Справочник.ПроизводителиНоменклатуры;00000002672;4F Filtr;
Справочник.ПроизводителиНоменклатуры;00000002672;4F Filtr;
Справочник.ПроизводителиНоменклатуры;00000000554;4MAX;
Справочник.ПроизводителиНоменклатуры;00000000554;4MAX;
Справочник.ПроизводителиНоменклатуры;00000002716;4SEASONS;
Справочник.ПроизводителиНоменклатуры;00000002716;4SEASONS;
Справочник.ПроизводителиНоменклатуры;00000002716;4SEASONS;
Справочник.ПроизводителиНоменклатуры;00000002869;4U;
Справочник.ПроизводителиНоменклатуры;00000003152;555;
Справочник.ПроизводителиНоменклатуры;00000003152;555;
Справочник.ПроизводителиНоменклатуры;00000003152;555;
Справочник.ПроизводителиНоменклатуры;00000003152;555;
Справочник.ПроизводителиНоменклатуры;00000002629;5M;
Справочник.ПроизводителиНоменклатуры;00000002629;5M;
Справочник.ПроизводителиНоменклатуры;00000002629;5M;
Справочник.ПроизводителиНоменклатуры;00000003436;7RT;
Справочник.ПроизводителиНоменклатуры;00000003436;7RT;
Справочник.ПроизводителиНоменклатуры;00000001284;A.B.S.;
Справочник.ПроизводителиНоменклатуры;00000001284;A.B.S.;
Справочник.ПроизводителиНоменклатуры;00000001936;A.L. FILTER;
Справочник.ПроизводителиНоменклатуры;00000001936;A.L. FILTER;
Справочник.ПроизводителиНоменклатуры;00000001936;A.L. FILTER;
Справочник.ПроизводителиНоменклатуры;00000003487;A.M.P HYDRAULIC;
Справочник.ПроизводителиНоменклатуры;00000003487;A.M.P HYDRAULIC;
Справочник.ПроизводителиНоменклатуры;00000003605;A4C;
Справочник.ПроизводителиНоменклатуры;00000003605;A4C;
Справочник.ПроизводителиНоменклатуры;00000001218;AA-TOP;
Справочник.ПроизводителиНоменклатуры;00000001218;AA-TOP;
Справочник.ПроизводителиНоменклатуры;00000000961;Abakus;
Справочник.ПроизводителиНоменклатуры;00000000961;Abakus;
Справочник.ПроизводителиНоменклатуры;00000000882;Abal;
Справочник.ПроизводителиНоменклатуры;00000000882;Abal;
Справочник.ПроизводителиНоменклатуры;00000000882;Abal;
Справочник.ПроизводителиНоменклатуры;00000003078;ABAP;
Справочник.ПроизводителиНоменклатуры;00000003078;ABAP;
Справочник.ПроизводителиНоменклатуры;00000003078;ABAP;
Справочник.ПроизводителиНоменклатуры;00000001022;ABC;
Справочник.ПроизводителиНоменклатуры;00000001022;ABC;
Справочник.ПроизводителиНоменклатуры;00000002372;ABE;
Справочник.ПроизводителиНоменклатуры;00000002372;ABE;
Справочник.ПроизводителиНоменклатуры;00000001276;Abex;
Справочник.ПроизводителиНоменклатуры;00000001276;Abex;
Справочник.ПроизводителиНоменклатуры;00000002144;ABG;
Справочник.ПроизводителиНоменклатуры;00000002144;ABG;
Справочник.ПроизводителиНоменклатуры;00000002144;ABG;
Справочник.ПроизводителиНоменклатуры;00000002831;AB-PARTS;
Справочник.ПроизводителиНоменклатуры;00000002831;AB-PARTS;
Справочник.ПроизводителиНоменклатуры;00000000674;ABRO;
Справочник.ПроизводителиНоменклатуры;00000000674;ABRO;
Справочник.ПроизводителиНоменклатуры;00000000674;ABRO;
Справочник.ПроизводителиНоменклатуры;00000003414;ABSEL;
Справочник.ПроизводителиНоменклатуры;00000003414;ABSEL;
Справочник.ПроизводителиНоменклатуры;00000002203;AC;
Справочник.ПроизводителиНоменклатуры;00000002203;AC;
Справочник.ПроизводителиНоменклатуры;00000002203;AC;
Справочник.ПроизводителиНоменклатуры;00000002650;ACA;
Справочник.ПроизводителиНоменклатуры;00000002650;ACA;
Справочник.ПроизводителиНоменклатуры;00000003018;ACADEMY;
Справочник.ПроизводителиНоменклатуры;00000003018;ACADEMY;
Справочник.ПроизводителиНоменклатуры;00000001427;ACDelco;
Справочник.ПроизводителиНоменклатуры;00000001427;ACDelco;
Справочник.ПроизводителиНоменклатуры;00000002178;ACKERMANN;
Справочник.ПроизводителиНоменклатуры;00000002178;ACKERMANN;
Справочник.ПроизводителиНоменклатуры;00000002178;ACKERMANN;
Справочник.ПроизводителиНоменклатуры;00000003574;ACQ;
Справочник.ПроизводителиНоменклатуры;00000003574;ACQ;
Справочник.ПроизводителиНоменклатуры;00000002551;ACR;
Справочник.ПроизводителиНоменклатуры;00000002551;ACR;
Справочник.ПроизводителиНоменклатуры;00000000739;ACTIA;
Справочник.ПроизводителиНоменклатуры;00000000739;ACTIA;
Справочник.ПроизводителиНоменклатуры;00000002263;ACURA;
Справочник.ПроизводителиНоменклатуры;00000002263;ACURA;
Справочник.ПроизводителиНоменклатуры;00000002263;ACURA;
Справочник.ПроизводителиНоменклатуры;00000002803;AD KUHNER;
Справочник.ПроизводителиНоменклатуры;00000002803;AD KUHNER;
Справочник.ПроизводителиНоменклатуры;00000002803;AD KUHNER;
Справочник.ПроизводителиНоменклатуры;00000003444;AD RADIATORS;
Справочник.ПроизводителиНоменклатуры;00000003444;AD RADIATORS;
Справочник.ПроизводителиНоменклатуры;00000003444;AD RADIATORS;
Справочник.ПроизводителиНоменклатуры;00000003105;ADAICO;
Справочник.ПроизводителиНоменклатуры;00000003105;ADAICO;
Справочник.ПроизводителиНоменклатуры;00000003667;AdBlue;
Справочник.ПроизводителиНоменклатуры;00000003667;AdBlue;
Справочник.ПроизводителиНоменклатуры;00000003667;AdBlue;
Справочник.ПроизводителиНоменклатуры;00000001023;Adler;
Справочник.ПроизводителиНоменклатуры;00000001023;Adler;
Справочник.ПроизводителиНоменклатуры;00000003203;ADRIAUTO;
Справочник.ПроизводителиНоменклатуры;00000003203;ADRIAUTO;
